idPlayer,idTeam,yearDraft,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,repsBenchPress135,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,pctBodyFat
1628960.0,1610612762.0,2018.0,75.0,198.0,79.25,97.0,32.5,40.5,,10.31,3.15,3.04,8.25,10.0,5.55
1628990.0,1610612741.0,2018.0,,,,,,,,,,,,,
1628988.0,1610612754.0,2018.0,71.75,187.0,79.5,97.0,25.5,33.0,,10.96,3.27,3.22,8.75,8.5,6.4
1629014.0,1610612757.0,2018.0,74.25,183.2,81.25,99.5,32.0,41.5,1.0,11.27,3.1,3.16,8.75,9.0,7.7
1629021.0,1610612747.0,2018.0,82.0,231.2,84.0,108.0,25.5,32.5,,12.0,3.3499999999999996,2.98,8.75,10.75,6.7
1629021.0,1610612747.0,2018.0,82.5,241.4,84.0,108.0,27.0,34.0,8.0,11.48,3.18,3.07,9.0,10.75,6.75
1629013.0,1610612755.0,2018.0,76.0,188.6,78.75,100.0,31.0,39.5,8.0,11.26,3.11,3.21,8.0,9.0,4.85
1629057.0,1610612738.0,2018.0,,,,,,,,,,,,,
1628980.0,1610612744.0,2018.0,76.25,199.6,81.25,102.5,28.0,35.5,8.0,11.11,3.2,3.14,9.0,9.25,6.5
1629058.0,1610612751.0,2018.0,,,,,,,,,,,,,
1629016.0,1610612737.0,2018.0,80.0,253.8,86.0,107.5,28.5,35.5,8.0,12.28,3.38,3.3499999999999996,9.0,9.0,13.75
1629059.0,1610612756.0,2018.0,,,,,,,,,,,,,
1628975.0,1610612763.0,2018.0,72.25,196.2,76.25,95.0,29.0,36.5,14.0,11.04,3.18,3.05,9.25,8.5,4.1499999999999995
1628973.0,1610612742.0,2018.0,73.0,198.4,76.0,96.0,29.0,37.0,7.0,10.59,3.15,3.11,8.25,9.25,6.7
1628984.0,1610612737.0,2018.0,72.25,186.4,78.25,96.0,31.0,37.0,14.0,11.28,3.21,3.15,8.5,9.5,4.8
1628982.0,1610612753.0,2018.0,76.5,198.2,85.75,105.0,31.0,40.5,0.0,11.239999999999998,3.08,3.08,9.5,9.5,7.9
1629011.0,1610612752.0,2018.0,,,,,,,,,,,,,
1629018.0,1610612758.0,2018.0,76.25,204.2,80.75,98.0,33.5,39.5,12.0,11.370000000000001,3.12,2.9899999999999998,8.5,9.5,7.0
1629017.0,1610612755.0,2018.0,74.5,198.8,82.5,101.0,30.0,35.0,14.0,10.96,3.18,3.18,8.75,9.25,6.4
1629067.0,1610612755.0,2018.0,,,,,,,,,,,,,
1629066.0,1610612751.0,2018.0,,,,,,,,,,,,,
1629020.0,1610612753.0,2018.0,,,,,,,,,,,,,
1628971.0,1610612765.0,2018.0,75.5,194.6,81.0,98.5,32.5,38.0,17.0,11.11,3.2,3.44,8.5,8.5,3.75
1628992.0,1610612743.0,2018.0,77.75,219.4,87.25,107.0,26.5,31.5,,11.78,3.4299999999999997,3.08,9.0,9.5,7.1
1628992.0,1610612743.0,2018.0,78.0,229.4,87.0,105.0,,,,,,,9.0,9.5,8.9
1629068.0,1610612764.0,2018.0,,,,,,,,,,,,,
1628977.0,1610612751.0,2018.0,75.75,197.4,83.25,101.5,34.5,44.5,0.0,10.88,3.11,2.79,8.5,9.5,5.2
1628977.0,1610612751.0,2018.0,76.25,197.0,83.5,103.0,32.5,40.5,1.0,10.53,3.1,3.14,8.75,9.0,4.45
